IlmnID,arms,ccsk,erms,ews,mrt,nbl,normal,os,wbc,wt
cg2627,0.18696696666666668,0.17407636666666668,0.18285663333333335,0.19880448328879702,0.1777887635,0.08973693199529703,0.0,0.08814419505245988,0.18202460625590636,0.1770989666666667
cg2628,0.02644927125,0.017386826666666667,0.026120392875000002,0.0214649989677504,0.012742975999999998,0.024369027444879822,0.0,0.019668557786511685,0.03638488417799605,0.0227116725
cg2629,0.495219345,0.28097365,0.36685865375000004,0.19188097944645677,0.2892708395,,0.06666666666666668,0.2501878215143448,0.45300994492571794,0.2296780375
cg2630,0.04556648,0.031989279333333336,0.04070081166666667,0.05160012666666667,0.054847708999999994,0.037399221652588494,0.0,0.02249780767911614,0.061045827340498786,0.04011521
cg2631,0.1871763,0.5677561000000001,0.21185979500000002,0.22132865039971467,0.196926350125,0.1099309493460982,0.13806959403479702,0.21544207260108122,0.28883551615234593,0.302692175
cg2632,0.0394149,0.020372719666666667,0.03906199166666667,0.03718286329005273,0.0735512725,0.0202930644237196,0.0,0.017612520903225,0.0443029550594242,0.02187451333333333
cg2633,0.05481891666666667,0.039452360000000006,0.04976047416666668,0.053657188,0.05017850808333332,0.04302227006840628,0.0,0.024539346173300315,0.06660605532276409,0.04582194216666666
cg2634,0.028935013250000002,0.017500323625,0.027989406937500003,0.028940834092585,0.038304574187499996,0.025057876962488262,0.0,0.018484624551575693,0.03958675025147434,0.022474767375
cg2635,0.05773474225,0.045232274,0.056969544999999996,0.068450557,0.06854252225,0.05497015421288656,0.0,0.03247400059335549,0.07488191960375906,0.0533479
cg2636,0.0527700275,0.02396845075,0.040666637125,0.039763065375000003,0.06059445916666666,0.030364153173550373,0.0,0.01779261930869331,0.04421414889655045,0.030767294249999997
cg2637,0.8467565499999999,0.845494425,0.8547597249999999,0.8752462,0.7855428385000001,0.8837173480588381,0.9500363938858272,0.8583651729563697,0.9050522309783969,0.8733031250000001
cg2638,0.061847505,0.045890335,0.05575604125,0.062277798625000005,0.06545359425000001,0.0458555735395077,0.0,0.022323383182110676,0.0717986324867078,0.05400834
cg2639,0.06517341333333332,0.032291839999999995,0.059978295,0.057487325166666665,0.10500041766666665,0.03914494465216083,0.0,0.018169990865029448,0.0629958748409611,0.04065179
cg2640,0.029898685000000005,0.01961856233333333,0.027400678833333338,0.034328518749999995,0.03428103075,0.03182010173322251,0.0,0.01830879789107767,0.04211010557962735,0.022770624166666663
cg2641,0.9283495333333334,0.9313592333333331,0.9258460666666667,0.9354251278780084,0.8329196125,0.9445719481745976,0.9069711538461538,0.9591443706964615,0.9410827408010992,0.9305039666666668
